Jun 04 13:41:01.119: vmx| Log for VMware Player pid=31326 version=2.5.1 build=build-126130 option=Release
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000003, 0: 0x6f726574 0x6d74286e 0x72502029 0x7365636f
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000004, 0: 0x20726f73 0x20303731 0x00002020 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000005, 0: 0xff08ff08 0xff20ff20 0x40020140 0x40020140
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000006, 0: 0x00000000 0x42004200 0x04008140 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000007, 0: 0x00000000 0x00000000 0x00000000 0x0000000f
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000008, 0: 0x00003028 0x00000000 0x00000001 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000009, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 8000000a, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 8000000b, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 8000000c, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 8000000d, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 8000000e, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 8000000f, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000010, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000011, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000012, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000013, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000014, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000015, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000016, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000017, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| CPUID[1] level 80000018, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| hostCPUID vendor: AuthcAMDenti
Jun 04 13:41:01.323: vmx| hostCPUID   name: Dual Core AMD Opteron(tm) Processor 170   
Jun 04 13:41:01.323: vmx| hostCPUID level 00000000, 0: 0x00000001 0x68747541 0x444d4163 0x69746e65
Jun 04 13:41:01.323: vmx| hostCPUID level 00000001, 0: 0x00020f32 0x01020800 0x00000001 0x178bfbff
Jun 04 13:41:01.323: vmx| hostCPUID level 80000000, 0: 0x80000018 0x68747541 0x444d4163 0x69746e65
Jun 04 13:41:01.323: vmx| hostCPUID level 80000001, 0: 0x00020f32 0x00000b05 0x00000003 0xe3d3fbff
Jun 04 13:41:01.323: vmx| hostCPUID level 80000002, 0: 0x6c617544 0x726f4320 0x4d412065 0x704f2044
Jun 04 13:41:01.323: vmx| hostCPUID level 80000003, 0: 0x6f726574 0x6d74286e 0x72502029 0x7365636f
Jun 04 13:41:01.323: vmx| hostCPUID level 80000004, 0: 0x20726f73 0x20303731 0x00002020 0x00000000
Jun 04 13:41:01.323: vmx| hostCPUID level 80000005, 0: 0xff08ff08 0xff20ff20 0x40020140 0x40020140
Jun 04 13:41:01.323: vmx| hostCPUID level 80000006, 0: 0x00000000 0x42004200 0x04008140 0x00000000
Jun 04 13:41:01.323: vmx| hostCPUID level 80000007, 0: 0x00000000 0x00000000 0x00000000 0x0000000f
Jun 04 13:41:01.323: vmx| hostCPUID level 80000008, 0: 0x00003028 0x00000000 0x00000001 0x00000000
Jun 04 13:41:01.323: vmx| hostCPUID level 80000009, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.323: vmx| hostCPUID level 8000000a, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.324: vmx| hostCPUID level 8000000b, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.324: vmx| hostCPUID level 8000000c, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.324: vmx| hostCPUID level 8000000d, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.324: vmx| hostCPUID level 8000000e, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.324: vmx| hostCPUID level 8000000f, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.324: vmx| hostCPUID level 80000010, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.324: vmx| hostCPUID level 80000011, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.324: vmx| hostCPUID level 80000012, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.324: vmx| hostCPUID level 80000013, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.324: vmx| hostCPUID level 80000014, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.324: vmx| hostCPUID level 80000015, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.324: vmx| hostCPUID level 80000016, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.324: vmx| hostCPUID level 80000017, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.324: vmx| hostCPUID level 80000018, 0: 0x00000000 0x00000000 0x00000000 0x00000000
Jun 04 13:41:01.324: vmx| CPUID Maximum Physical Address Bits supported across all CPUs: 40
Jun 04 13:41:01.336: vmx| Host ACPI: SRAT @ 0x3fee92c0
Jun 04 13:41:01.336: vmx| Host: 1 nodes found in SRAT table, with 2 memRanges
Jun 04 13:41:01.426: vmx| ACL_InitCapabilities: current IPC thread
Jun 04 13:41:01.426: vmx| ACL_InitCapabilities: done
Jun 04 13:41:01.426: vmx| changing directory to /home/bombax/workspace/so2/MS-DOS/.
Jun 04 13:41:01.426: vmx| Config file: /home/bombax/workspace/so2/MS-DOS/MS-DOS.vmx
Jun 04 13:41:01.462: vmx| VMXVmdb_LoadRawConfig: Loading raw config
Jun 04 13:41:01.512: vmx| VMXVmdbCbVmVmxExecState: Exec state change requested to state poweredOn without reset
Jun 04 13:41:01.513: vmx| TOOLS delaying state change request to state 3
Jun 04 13:41:01.513: vmx| PowerOn
Jun 04 13:41:01.513: vmx| VMX_PowerOn: VMX build 126130, UI build 126130
Jun 04 13:41:01.513: vmx| Host ACPI: SRAT @ 0x3fee92c0
Jun 04 13:41:01.513: vmx| Host: CPU #0 LAPIC ID 0x00, node 0x00
Jun 04 13:41:01.532: vmx| Host: CPU #1 LAPIC ID 0x01, node 0x00
Jun 04 13:41:01.538: vmx| VMXVmdb_LoadRawConfig: Loading raw config
Jun 04 13:41:01.542: vmx| HOST sysname Linux, nodename sorny, release 2.6.28-11-generic, version #42-Ubuntu SMP Fri Apr 17 01:57:59 UTC 2009, machine i686, SMP, hz=250
Jun 04 13:41:01.542: vmx| DICT --- USER PREFERENCES
Jun 04 13:41:01.542: vmx| DICT       pref.grabOnKeyPress = FALSE
Jun 04 13:41:01.542: vmx| DICT       pref.eula.0.appName = VMware Workstation
Jun 04 13:41:01.542: vmx| DICT   pref.eula.0.buildNumber = 126130
Jun 04 13:41:01.542: vmx| DICT     pref.mruDest0.present = FALSE
Jun 04 13:41:01.542: vmx| DICT  pref.mruDest0.destString = 
Jun 04 13:41:01.542: vmx| DICT        pref.mruDest0.user = 
Jun 04 13:41:01.542: vmx| DICT     pref.mruDest1.present = FALSE
Jun 04 13:41:01.542: vmx| DICT  pref.mruDest1.destString = 
Jun 04 13:41:01.542: vmx| DICT        pref.mruDest1.user = 
